"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DVA","DaVita Inc.","57.72","11036064000","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dva",
"XRAY","DENTSPLY SIRONA Inc.","59.5","13655359837","n/a","1987","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xray",
"EW","Edwards Lifesciences Corporation","111.2","23480772936","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ew",
"LLY","Eli Lilly and Company","85.73","94387782169.12","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lly",
"ESRX","Express Scripts Holding Company","57.77","33365005730","n/a","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx",
"FMS","Fresenius Medical Care Corporation","48.49","29759386762.56","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/fms",
"GILD","Gilead Sciences, Inc.","80.01","104487156622.17","n/a","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gild",
"GSK","GlaxoSmithKline PLC","41.01","100856532140.85","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gsk",
"GRFS","Grifols, S.A.","21.5","3074941309","143020526","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs",
"HCA","HCA Healthcare, Inc.","77.45","27978789265","n/a","2011","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hca",
"HSIC","Henry Schein, Inc.","82.29","13011034011.3","n/a","1995","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hsic",
"HOLX","Hologic, Inc.","36.89","10346666271.41","n/a","1990","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/holx",
"HUM","Humana Inc.","241.31","34873446014.62","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hum",
"IDXX","IDEXX Laboratories, Inc.","163.05","14230321961.85","n/a","1991","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/idxx",
"INCY","Incyte Corporation","115.14","24254210027.34","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incy",
"ISRG","Intuitive Surgical, Inc.","354.37","79273655498.42","n/a","2000","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/isrg",
"LH","Laboratory Corporation of America Holdings","147.99","15065382000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/lh",
"MCK","McKesson Corporation","146.21","30742192237.51","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/mck",
"MDT","Medtronic plc","78.59","106770490276.29","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/mdt",
"MRK","Merck & Company, Inc.","63.51","173214274133.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mrk",
"MYL","Mylan N.V.","37.51","20115890482.38","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/myl",
"NVO","Novo Nordisk A/S","50.13","127831500000","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvo",
"PRGO","Perrigo Company","88.55","12628211842.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/prgo",
"DGX","Quest Diagnostics Incorporated","92.05","12556126551.15","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/dgx",
"Q","Quintiles IMS Holdings, Inc.","100.93","21306887097.77","n/a","2013","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/q",
"REGN","Regeneron Pharmaceuticals, Inc.","439.37","47079472219.51","n/a","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/regn",
"RMD","ResMed Inc.","78.87","11223236570.37","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/rmd",
"SNY","Sanofi","49.53","124015537155.12","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sny",
"SHPG","Shire plc","146.29","10662800295.29","72888101","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/shpg",
"SNN","Smith & Nephew SNATS, Inc.","38.12","17224964268.24","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/snn",
"SYK","Stryker Corporation","148.64","55600768020.16","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/syk",
"TFX","Teleflex Incorporated","240.64","10837804267.52","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/tfx",
"TEVA","Teva Pharmaceutical Industries Limited","14.62","14853920000","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/teva",
"TIG","TiGenix","23.3","29748810.9","1276773","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/tig",
"UNH","UnitedHealth Group Incorporated","205.23","198428662612.98","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/unh",
"UHS","Universal Health Services, Inc.","108.52","10380728785.24","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/uhs",
"VRTX","Vertex Pharmaceuticals Incorporated","154.76","39017916166.44","n/a","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vrtx",
"WBA","Walgreens Boots Alliance, Inc.","67.74","72488335961.64","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/wba",
"ZBH","Zimmer Biomet Holdings, Inc.","120.69","24403025584.8","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/zbh",
"ZTS","Zoetis Inc.","65.56","32066161150.76","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zts",
